Dataset: Tree DBHs across Canada ;;;;;,
;;;;;,
Author: Isabella Richmond ;;;;;,
;;;;;,
This dataset is for our workshop on data cleaning because it is TERRIBLY formatted! Lots of fun things to practice on for sure. Ahhhhh never put this metadata stuff up here, it really makes your life so much more difficult. ;;;;;
NOTE: this data is all fabricated, there is no real data in here.;;;;;
More on metadata in a future lab meeting! Wee! ;;;;;,
;;;;;,
TreeID;City;1st Date Measured;Time  Measured;DBH;Species,
1;Montréal;01-01-2021;12:01:00;10.1;Maple,
2;Montréal;01-02-2021;12:02:00;12.2;Pine,
2;Montréal;01-02-2021;12:02:00;12.2;Pine,
3;Montréal;01-03-2021;12:03:00;NA;Elm,
4;Montréal;01-04-2021;12:04:00;9.6;Cedar,
5;Montréal;01-05-2021;12:05:00;11.2;Apple,
6;Montréal;01-06-2021;12:06:00;14.1;Aspen,
7;Montréal;01-07-2021;12:07:00;16.5;Locust,
8;Montréal;01-08-2021;12:08:00;100.1;Birch,
9;Montréal;01-09-2021;12:09:00;89.8;Ash,
10;Montréal;01-10-2021;12:10:00;5.4;Spruce,
11;Toronno;01-11-2021;12:11:00;1.4;Maple,
12;Toronno;01-12-2021;12:12:00;0;Pine,
13;Toronno;01-13-2021;12:13:00;22.2;Oak,
14;Toronno;01-14-2021;12:14:00;5.5;Elm,
15;Toronno;01-15-2021;12:15:00;6.7;Cedar,
16;Toronno;01-16-2021;12:16:00;55;Apple,
17;Toronno;01-17-2021;12:17:00;42.3;Aspen,
18;Toronno;01-18-2021;12:18:00;18.4;Locust,
19;Toronno;01-19-2021;12:19:00;5.6;Birch,
20;Toronno;01-20-2021;12:20:00;9.3;Ash,
21;Vancouver;01-21-2021;12:21:00; ;Spruce,
22;Vancouver;01-22-2021;12:22:00;14.2;Maple,
23;Vancouver;01-23-2021;12:23:00;25.1;Pine,
24;Vancouver;01-24-2021;12:24:00;33.1;Oak,
25;Vancouver;01-25-2021;12:25:00;8.5;Elm,
26;Vancouver;01-26-2021;12:26:00;4.9;Cedar,
27;Vancouver;01-27-2021;12:27:00;45.1;Apple,
28;Vancouver;01-28-2021;12:28:00;85.2;Aspen,
29;Vancouver;01-29-2021;12:29:00;77.4;Locust,
30;Vancouver;01-30-2021;12:30:00;12.5;Birch,
31;Winnipeg;01-31-2021;12:31:00;36.5;Ash,
32;Winnipeg;02-01-2021;12:32:00;;Spruce,
33;Winnipeg;02-02-2021;12:33:00;11.1;Maple,
34;Winnipeg;02-03-2021;12:34:00;25.8;Pine,
35;Winnipeg;02-04-2021;12:35:00;47.5;Oak,
36;Winnipeg;02-05-2021;12:36:00;23.9;Elm,
37;Winnipeg;02-06-2021;12:37:00;32.8;Cedar,
38;Winnipeg;02-07-2021;12:38:00;16.6;Apple,
39;Winnipeg;02-08-2021;12:39:00;14.5;Aspen,
40;Winnipeg;02-09-2021;12:40:00;12.8;Locust,
41;Halifax;02-10-2021;12:41:00;1.1;Birch,
42;Halifax;02-11-2021;12:42:00;1.5;Ash,
43;Halifax;02-12-2021;12:43:00;6.3;Spruce,
44;Halifax;02-13-2021;12:44:00;55.2;Maple,
45;Halifax;02-14-2021;12:45:00;14.9;Pine,
46;Halifax;02-15-2021;12:46:00;47.6;Oak,
47;Halifax;02-16-2021;12:47:00;21.1;Elm,
48;Halifax;02-17-2021;12:48:00;23.2;Cedar,
49;Halifax;02-18-2021;12:49:00;5.9;Apple,
50;Halifax;02-19-2021;12:50:00;11.7;Aspen,
